"","op_code","site_full","site_code","type","geog","date","day","month","year","bruv","period_time_hms","time","minute","second","visibility","habitat","subclass","family","scientific_name","genus","species","common","code","sp_code","number","comment_1","x_6","five_min","ten_min"
"62","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:20:07.27",20M 7.27S,20,7.27,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"63","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:20:07.27",20M 7.27S,20,7.27,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"64","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:20:07.27",20M 7.27S,20,7.27,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"65","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:20:19.53",20M 19.53S,20,19.53,">1m","100% S","Invertebrate","Cancridae","Cancer ","Cancer","","Crab",33,"CANC",1,"","",25,30
"66","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:20:19.53",20M 19.53S,20,19.53,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"67","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:20:19.53",20M 19.53S,20,19.53,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"68","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:20:19.53",20M 19.53S,20,19.53,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"69","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:20:19.53",20M 19.53S,20,19.53,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"70","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:20:19.53",20M 19.53S,20,19.53,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"71","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:20:19.53",20M 19.53S,20,19.53,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
