"","site_code","op_code","date","day","month","year","bruv","subclass","family.x","genus.x","species.x","sp_code","common","max_n","MPA","site_full","geog","type"
"94","REFU","REFU_10Oct19_bruv1",2019-10-10,10,10,2019,"1","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",2,0,"Refugio",4,"Reference"
"95","REFU","REFU_10Oct19_bruv3",2019-10-10,10,10,2019,"3","Actinopterygii","Atherinopsidae","Atherinops","affinis","ATAF","Topsmelt",5,0,"Refugio",4,"Reference"
"96","REFU","REFU_10Oct19_bruv3",2019-10-10,10,10,2019,"3","Actinopterygii","Embiotocidae","Amphistichus","argenteus","AMAR","Barred surfperch",1,0,"Refugio",4,"Reference"
"97","REFU","REFU_10Oct19_bruv3",2019-10-10,10,10,2019,"3",NA,"Nassariidae","Nassarius","sp",NA,NA,4,0,"Refugio",4,"Reference"
"98","REFU","REFU_10Oct19_bruv3",2019-10-10,10,10,2019,"3","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",1,0,"Refugio",4,"Reference"
"99","REFU","REFU_10Oct19_bruv3",2019-10-10,10,10,2019,"3","Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish",1,0,"Refugio",4,"Reference"
"100","REFU","REFU_10Oct19_bruv6",2019-10-10,10,10,2019,"6",NA,"Atherinopsidae","Atherinops","sp",NA,NA,3,0,"Refugio",4,"Reference"
"101","REFU","REFU_10Oct19_bruv6",2019-10-10,10,10,2019,"6","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",6,0,"Refugio",4,"Reference"
"102","REFU","REFU_10Oct19_bruv6",2019-10-10,10,10,2019,"6","Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish",1,0,"Refugio",4,"Reference"
"103","SOCA","SOCA_25Jul19_bruv1",2019-07-25,25,7,2019,"1",NA,"","","",NA,NA,1,1,"South Campus",5,"MPA"
"104","SOCA","SOCA_25Jul19_bruv1",2019-07-25,25,7,2019,"1","Actinopterygii","Embiotocidae","Amphistichus","argenteus","AMAR","Barred surfperch",1,1,"South Campus",5,"MPA"
"105","SOCA","SOCA_25Jul19_bruv1",2019-07-25,25,7,2019,"1","Elasmobranchii","Heterodontidae","Heterodontus","francisci","HEFR","Horn shark",1,1,"South Campus",5,"MPA"
"106","SOCA","SOCA_25Jul19_bruv1",2019-07-25,25,7,2019,"1","Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray",2,1,"South Campus",5,"MPA"
"107","SOCA","SOCA_25Jul19_bruv1",2019-07-25,25,7,2019,"1","Invertebrate","Palinuridae","Panulirus","interruptus","PAIN","California spiny lobster ",1,1,"South Campus",5,"MPA"
"108","SOCA","SOCA_25Jul19_bruv1",2019-07-25,25,7,2019,"1","Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish",1,1,"South Campus",5,"MPA"
"109","SOCA","SOCA_25Jul19_bruv1",2019-07-25,25,7,2019,"1","Actinopterygii","Sciaenidae","Cheilotrema","saturnum","CHSA","Black croaker",1,1,"South Campus",5,"MPA"
"110","SOCA","SOCA_25Jul19_bruv1",2019-07-25,25,7,2019,"1","Actinopterygii","Serranidae","Paralabrax","clathratus","PACL","Kelp bass",1,1,"South Campus",5,"MPA"
"111","SOCA","SOCA_25Jul19_bruv1",2019-07-25,25,7,2019,"1","Elasmobranchii","Triakidae","Triakis","semifasciata","TRSE","Leopard shark",3,1,"South Campus",5,"MPA"
"112","SOCA","SOCA_25Jul19_bruv1",2019-07-25,25,7,2019,"1","Elasmobranchii","Urotrygonidae","Urobatis","halleri","URHA","Round stingray",1,1,"South Campus",5,"MPA"
"113","SOCA","SOCA_25Jul19_bruv3",2019-07-25,25,7,2019,"3",NA,"","","",NA,NA,1,1,"South Campus",5,"MPA"
"114","SOCA","SOCA_25Jul19_bruv3",2019-07-25,25,7,2019,"3","Actinopterygii","Embiotocidae","Amphistichus","argenteus","AMAR","Barred surfperch",2,1,"South Campus",5,"MPA"
"115","SOCA","SOCA_25Jul19_bruv3",2019-07-25,25,7,2019,"3","Actinopterygii","Embiotocidae","Embiotoca","jacksoni","EMJA","Black perch",2,1,"South Campus",5,"MPA"
"116","SOCA","SOCA_25Jul19_bruv3",2019-07-25,25,7,2019,"3","Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray",1,1,"South Campus",5,"MPA"
"117","SOCA","SOCA_25Jul19_bruv3",2019-07-25,25,7,2019,"3","Invertebrate","Palinuridae","Panulirus","interruptus","PAIN","California spiny lobster ",1,1,"South Campus",5,"MPA"
"118","SOCA","SOCA_25Jul19_bruv3",2019-07-25,25,7,2019,"3","Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish",1,1,"South Campus",5,"MPA"
"119","SOCA","SOCA_25Jul19_bruv3",2019-07-25,25,7,2019,"3","Actinopterygii","Serranidae","Paralabrax","clathratus","PACL","Kelp bass",1,1,"South Campus",5,"MPA"
"120","SOCA","SOCA_25Jul19_bruv3",2019-07-25,25,7,2019,"3","Elasmobranchii","Triakidae","Triakis","semifasciata","TRSE","Leopard shark",2,1,"South Campus",5,"MPA"
"121","SOCA","SOCA_25Jul19_bruv6",2019-07-25,25,7,2019,"6","Actinopterygii","Embiotocidae","Amphistichus","argenteus","AMAR","Barred surfperch",1,1,"South Campus",5,"MPA"
"122","SOCA","SOCA_25Jul19_bruv6",2019-07-25,25,7,2019,"6","Actinopterygii","Embiotocidae","Embiotoca","jacksoni","EMJA","Black perch",1,1,"South Campus",5,"MPA"
"123","SOCA","SOCA_25Jul19_bruv6",2019-07-25,25,7,2019,"6","Actinopterygii","Embiotocidae","Hypsurus","caryi","HYCA","Rainbow surfperch",1,1,"South Campus",5,"MPA"
"124","SOCA","SOCA_25Jul19_bruv6",2019-07-25,25,7,2019,"6","Actinopterygii","Embiotocidae","Micrometrus","minimus","MIMI","Dwarf perch",1,1,"South Campus",5,"MPA"
"125","SOCA","SOCA_25Jul19_bruv6",2019-07-25,25,7,2019,"6","Actinopterygii","Embiotocidae","Rhacochilus","toxotes","RHTO","Rubberlip seaperch",1,1,"South Campus",5,"MPA"
"126","SOCA","SOCA_25Jul19_bruv6",2019-07-25,25,7,2019,"6","Invertebrate","Epialtidae","Loxorhynchus","grandis","LOGR","Sheep crab",1,1,"South Campus",5,"MPA"
"127","SOCA","SOCA_25Jul19_bruv6",2019-07-25,25,7,2019,"6","Actinopterygii","Haemulidae","Anisotremus","davidsonii","ANDA","Sargo",1,1,"South Campus",5,"MPA"
"128","SOCA","SOCA_25Jul19_bruv6",2019-07-25,25,7,2019,"6","Invertebrate","Palinuridae","Panulirus","interruptus","PAIN","California spiny lobster ",1,1,"South Campus",5,"MPA"
"129","SOCA","SOCA_25Jul19_bruv6",2019-07-25,25,7,2019,"6","Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish",1,1,"South Campus",5,"MPA"
"130","SOCA","SOCA_25Jul19_bruv6",2019-07-25,25,7,2019,"6","Actinopterygii","Serranidae","Paralabrax","clathratus","PACL","Kelp bass",1,1,"South Campus",5,"MPA"
"131","SOCA","SOCA_25Jul19_bruv6",2019-07-25,25,7,2019,"6","Elasmobranchii","Triakidae","Triakis","semifasciata","TRSE","Leopard shark",2,1,"South Campus",5,"MPA"
"132","SOCA","SOCA_09Sep19_bruv1",2019-09-09,9,9,2019,"1",NA,"","","",NA,NA,1,1,"South Campus",5,"MPA"
"133","SOCA","SOCA_09Sep19_bruv1",2019-09-09,9,9,2019,"1",NA,"Embiotocidae","","",NA,NA,1,1,"South Campus",5,"MPA"
"134","SOCA","SOCA_09Sep19_bruv1",2019-09-09,9,9,2019,"1","Actinopterygii","Embiotocidae","Amphistichus","argenteus","AMAR","Barred surfperch",1,1,"South Campus",5,"MPA"
"135","SOCA","SOCA_09Sep19_bruv1",2019-09-09,9,9,2019,"1","Actinopterygii","Embiotocidae","Embiotoca","jacksoni","EMJA","Black perch",2,1,"South Campus",5,"MPA"
"136","SOCA","SOCA_09Sep19_bruv1",2019-09-09,9,9,2019,"1","Actinopterygii","Embiotocidae","Hyperprosopon","argenteum","HYAR","Walleye surfperch",1,1,"South Campus",5,"MPA"
"137","SOCA","SOCA_09Sep19_bruv1",2019-09-09,9,9,2019,"1","Actinopterygii","Embiotocidae","Micrometrus","minimus","MIMI","Dwarf perch",1,1,"South Campus",5,"MPA"
"138","SOCA","SOCA_09Sep19_bruv1",2019-09-09,9,9,2019,"1","Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray",1,1,"South Campus",5,"MPA"
