Dot Point Measurements

Generated: Thursday, February 27, 2020 15:57:43

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
PODU_20Aug19_bruv1_GP010073.MP4	  29214	00:25:49.45	DUCO_20Aug19_bruv1_data	00:15:49.43	292	1341	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  29214	00:25:49.45	DUCO_20Aug19_bruv1_data	00:15:49.43	727	1389	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  32112	00:26:37.80	DUCO_20Aug19_bruv1_data	00:16:37.78	494	488	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  32112	00:26:37.80	DUCO_20Aug19_bruv1_data	00:16:37.78	460	1745	DUCO_20Aug19_bruv1	Jessica Madden											Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  46643	00:30:40.22	DUCO_20Aug19_bruv1_data	00:20:40.21	378	1808	DUCO_20Aug19_bruv1	Jessica Madden											Labridae	Semicossyphus	pulcher	46 #California sheephead	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  46643	00:30:40.22	DUCO_20Aug19_bruv1_data	00:20:40.21	460	1424	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  48274	00:31:07.43	DUCO_20Aug19_bruv1_data	00:21:07.42	374	1257	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  48274	00:31:07.43	DUCO_20Aug19_bruv1_data	00:21:07.42	759	1408	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing		background	
PODU_20Aug19_bruv1_GP010073.MP4	  51666	00:32:04.02	DUCO_20Aug19_bruv1_data	00:22:04.01	449	652	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  51666	00:32:04.02	DUCO_20Aug19_bruv1_data	00:22:04.01	444	1613	DUCO_20Aug19_bruv1	Jessica Madden											Labridae	Semicossyphus	pulcher	46 #California sheephead	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  58345	00:33:55.45	DUCO_20Aug19_bruv1_data	00:23:55.43	585	1326	DUCO_20Aug19_bruv1	Jessica Madden															1	AD	Passing	larval fish		
PODU_20Aug19_bruv1_GP010073.MP4	  60175	00:34:25.98	DUCO_20Aug19_bruv1_data	00:24:25.96	415	688	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing		background	
PODU_20Aug19_bruv1_GP010073.MP4	  60175	00:34:25.98	DUCO_20Aug19_bruv1_data	00:24:25.96	478	686	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing		background	
PODU_20Aug19_bruv1_GP010073.MP4	  60175	00:34:25.98	DUCO_20Aug19_bruv1_data	00:24:25.96	481	843	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing		background	
PODU_20Aug19_bruv1_GP010073.MP4	  60175	00:34:25.98	DUCO_20Aug19_bruv1_data	00:24:25.96	424	838	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing		background	
PODU_20Aug19_bruv1_GP010073.MP4	  60175	00:34:25.98	DUCO_20Aug19_bruv1_data	00:24:25.96	533	915	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing		background	
PODU_20Aug19_bruv1_GP010073.MP4	  60175	00:34:25.98	DUCO_20Aug19_bruv1_data	00:24:25.96	276	729	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  60175	00:34:25.98	DUCO_20Aug19_bruv1_data	00:24:25.96	321	658	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  60175	00:34:25.98	DUCO_20Aug19_bruv1_data	00:24:25.96	319	556	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  60175	00:34:25.98	DUCO_20Aug19_bruv1_data	00:24:25.96	274	453	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  60175	00:34:25.98	DUCO_20Aug19_bruv1_data	00:24:25.96	315	417	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  60175	00:34:25.98	DUCO_20Aug19_bruv1_data	00:24:25.96	410	305	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  60175	00:34:25.98	DUCO_20Aug19_bruv1_data	00:24:25.96	323	271	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  60175	00:34:25.98	DUCO_20Aug19_bruv1_data	00:24:25.96	196	389	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  60175	00:34:25.98	DUCO_20Aug19_bruv1_data	00:24:25.96	168	476	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
